iso_ts,seq,temperature_c,humidity_pct,gas_ppm,motion,range_cm,ir_left,ir_right,pan_angle,tilt_angle,fw_state,uptime_ms,lat,lon,gps_fix,gps_sats,serial_ok,ws_clients,turn_status,alert_flags
2026-09-25T18:39:41.277+00:00,868,0,0,275,0,400,0,0,90,90,1,179089,,,0,0,1,0,unavailable,128
2026-09-25T18:39:42.377+00:00,874,0,0,274,0,400,0,0,90,90,1,180091,,,0,0,1,0,unavailable,128
2026-09-25T18:39:43.380+00:00,879,0,0,274,0,400,0,0,90,90,3,181090,,,0,0,1,0,unavailable,128
2026-09-25T18:39:44.384+00:00,884,0,0,274,0,400,0,0,90,90,3,182092,,,0,0,1,0,unavailable,128
2026-09-25T18:39:45.402+00:00,889,0,0,274,0,400,0,0,90,90,3,183091,,,0,0,1,0,unavailable,128
2026-09-25T18:39:46.649+00:00,895,0,0,274,0,400,0,0,90,90,3,184093,,,0,0,1,0,unavailable,128
2026-09-25T18:39:47.878+00:00,901,0,0,274,0,400,0,0,90,90,3,185592,,,0,0,1,0,unavailable,128
2026-09-25T18:39:49.013+00:00,907,0,0,274,0,400,0,0,90,90,3,186594,,,0,0,1,0,unavailable,128
2026-09-25T18:39:50.017+00:00,912,0,0,274,0,400,0,0,90,90,3,187594,,,0,0,1,0,unavailable,128
2026-09-25T18:39:51.031+00:00,917,0,0,274,0,400,0,0,90,90,3,188595,,,0,0,1,0,unavailable,128
2026-09-25T18:39:52.297+00:00,923,0,0,274,0,400,0,0,90,90,3,190096,,,0,0,1,0,unavailable,128
2026-09-25T18:39:53.303+00:00,928,0,0,274,0,400,0,0,90,90,3,191096,,,0,0,1,0,unavailable,128
2026-09-25T18:39:54.403+00:00,934,0,0,274,0,400,0,0,90,90,3,192097,,,0,0,1,0,unavailable,128
2026-09-25T18:39:55.406+00:00,939,0,0,274,0,400,0,0,90,90,3,193097,,,0,0,1,0,unavailable,128
2026-09-25T18:39:56.657+00:00,945,0,0,274,0,400,0,0,90,90,3,194098,,,0,0,1,0,unavailable,128
